File Name,Path from Root,Type,Label
Sbj2_steppage_T9_P.csv,subject2/steppage/trial9/,pressure,steppage
Sbj2_steppage_T9_S.csv,subject2/steppage/trial9/,skeleton,steppage
Sbj2_steppage_T14_P.csv,subject2/steppage/trial14/,pressure,steppage
Sbj2_steppage_T14_S.csv,subject2/steppage/trial14/,skeleton,steppage
Sbj2_steppage_T13_S.csv,subject2/steppage/trial13/,skeleton,steppage
Sbj2_steppage_T13_P.csv,subject2/steppage/trial13/,pressure,steppage
Sbj2_steppage_T7_P.csv,subject2/steppage/trial7/,pressure,steppage
Sbj2_steppage_T7_S.csv,subject2/steppage/trial7/,skeleton,steppage
Sbj2_steppage_T6_S.csv,subject2/steppage/trial6/,skeleton,steppage
Sbj2_steppage_T6_P.csv,subject2/steppage/trial6/,pressure,steppage
Sbj2_steppage_T12_P.csv,subject2/steppage/trial12/,pressure,steppage
Sbj2_steppage_T12_S.csv,subject2/steppage/trial12/,skeleton,steppage
Sbj2_steppage_T15_S.csv,subject2/steppage/trial15/,skeleton,steppage
Sbj2_steppage_T15_P.csv,subject2/steppage/trial15/,pressure,steppage
Sbj2_steppage_T1_P.csv,subject2/steppage/trial1/,pressure,steppage
Sbj2_steppage_T1_S.csv,subject2/steppage/trial1/,skeleton,steppage
Sbj2_steppage_T8_S.csv,subject2/steppage/trial8/,skeleton,steppage
Sbj2_steppage_T8_P.csv,subject2/steppage/trial8/,pressure,steppage
Sbj2_steppage_T19_P.csv,subject2/steppage/trial19/,pressure,steppage
Sbj2_steppage_T19_S.csv,subject2/steppage/trial19/,skeleton,steppage
Sbj2_steppage_T10_S.csv,subject2/steppage/trial10/,skeleton,steppage
Sbj2_steppage_T10_P.csv,subject2/steppage/trial10/,pressure,steppage
Sbj2_steppage_T4_P.csv,subject2/steppage/trial4/,pressure,steppage
Sbj2_steppage_T4_S.csv,subject2/steppage/trial4/,skeleton,steppage
Sbj2_steppage_T3_S.csv,subject2/steppage/trial3/,skeleton,steppage
Sbj2_steppage_T3_P.csv,subject2/steppage/trial3/,pressure,steppage
Sbj2_steppage_T17_P.csv,subject2/steppage/trial17/,pressure,steppage
Sbj2_steppage_T17_S.csv,subject2/steppage/trial17/,skeleton,steppage
Sbj2_steppage_T16_S.csv,subject2/steppage/trial16/,skeleton,steppage
Sbj2_steppage_T16_P.csv,subject2/steppage/trial16/,pressure,steppage
Sbj2_steppage_T2_P.csv,subject2/steppage/trial2/,pressure,steppage
Sbj2_steppage_T2_S.csv,subject2/steppage/trial2/,skeleton,steppage
Sbj2_steppage_T5_S.csv,subject2/steppage/trial5/,skeleton,steppage
Sbj2_steppage_T5_P.csv,subject2/steppage/trial5/,pressure,steppage
Sbj2_steppage_T11_P.csv,subject2/steppage/trial11/,pressure,steppage
