20200922_08:07:-23.670,-0.304477,-0.113924,0.848771,-0.301504,-0.114070,1.023592,-0.300087,-0.126709,1.162793,-0.299280,-0.139449,1.375183,-0.332435,-0.136150,1.340580,-0.466906,-0.117141,1.306166,-0.527715,-0.141334,1.043364,-0.533468,-0.040869,0.839543,-0.506441,-0.067345,0.753088,-0.478505,-0.068327,0.650945,-0.465068,-0.043601,0.731776,-0.266640,-0.140580,1.339478,-0.142024,-0.138900,1.306618,-0.072515,-0.169748,1.041351,-0.037980,-0.123796,0.818458,-0.062714,-0.192508,0.747805,-0.093291,-0.260780,0.675425,-0.088517,-0.082205,0.725495,-0.393571,-0.107168,0.850292,-0.404644,-0.129231,0.458722,-0.409915,-0.186684,0.088225,-0.414594,-0.026299,-0.001017,-0.224137,-0.120016,0.847400,-0.226272,-0.141514,0.456071,-0.242093,-0.235028,0.089226,-0.202052,-0.097133,0.000253,-0.298087,-0.131090,1.454793,-0.285859,0.016472,1.508430,-0.314785,-0.018867,1.538821,-0.380079,-0.122069,1.515967,-0.263582,-0.019098,1.536884,-0.218328,-0.138128,1.520383,
20200922_08:07:-23.713,-0.304030,-0.112520,0.848608,-0.301136,-0.112548,1.023458,-0.299876,-0.125733,1.162632,-0.299130,-0.138251,1.375068,-0.332273,-0.134815,1.340457,-0.466631,-0.114867,1.306045,-0.528131,-0.139243,1.043376,-0.533959,-0.040278,0.838786,-0.506381,-0.067176,0.752620,-0.479899,-0.068977,0.650085,-0.463927,-0.040820,0.731552,-0.266491,-0.139590,1.339358,-0.141821,-0.138587,1.306599,-0.071347,-0.171811,1.041829,-0.038007,-0.119694,0.820076,-0.063021,-0.190807,0.751918,-0.094650,-0.254907,0.676227,-0.089407,-0.079237,0.725226,-0.393115,-0.105463,0.850084,-0.404329,-0.128621,0.458520,-0.409866,-0.185717,0.087912,-0.414758,-0.025493,-0.001667,-0.223698,-0.118883,0.847278,-0.226154,-0.142596,0.456017,-0.242101,-0.234378,0.088679,-0.202347,-0.096942,-0.001179,-0.297891,-0.129811,1.454682,-0.286809,0.017095,1.510399,-0.315691,-0.018827,1.540155,-0.380267,-0.122100,1.515545,-0.264470,-0.018735,1.538487,-0.218425,-0.137283,1.520605,
20200922_08:07:-23.757,-0.303411,-0.111117,0.849314,-0.300864,-0.110132,1.024143,-0.299724,-0.123144,1.163316,-0.299456,-0.135274,1.375749,-0.332534,-0.132413,1.341032,-0.467194,-0.114773,1.306612,-0.527571,-0.139812,1.043782,-0.535680,-0.039816,0.839804,-0.507886,-0.066407,0.753624,-0.480495,-0.067746,0.651336,-0.465438,-0.041701,0.732583,-0.266692,-0.136171,1.340148,-0.141991,-0.134137,1.307621,-0.070649,-0.168184,1.043225,-0.039966,-0.117401,0.820811,-0.063214,-0.188510,0.752046,-0.093407,-0.251704,0.675037,-0.092775,-0.077492,0.726519,-0.392583,-0.105386,0.850580,-0.403443,-0.129001,0.459084,-0.408187,-0.186985,0.088652,-0.414210,-0.028009,-0.003009,-0.223001,-0.116285,0.848172,-0.225448,-0.141329,0.457045,-0.240837,-0.234498,0.090082,-0.202541,-0.096183,0.000982,-0.298599,-0.126678,1.455341,-0.289448,0.021491,1.507919,-0.317315,-0.014311,1.538755,-0.380334,-0.119169,1.517064,-0.266135,-0.013355,1.536439,-0.218218,-0.131404,1.520382,
20200922_08:07:-23.801,-0.303218,-0.110907,0.849555,-0.300739,-0.109506,1.024367,-0.299609,-0.122566,1.163522,-0.299563,-0.134647,1.375939,-0.332607,-0.131986,1.341178,-0.467400,-0.115278,1.306869,-0.527309,-0.140387,1.043964,-0.536703,-0.039722,0.840394,-0.508961,-0.066455,0.754252,-0.481024,-0.067916,0.652122,-0.466272,-0.043069,0.733234,-0.266749,-0.135363,1.340386,-0.142019,-0.133054,1.308032,-0.070051,-0.167310,1.043860,-0.040861,-0.117185,0.821118,-0.062134,-0.188613,0.752058,-0.090100,-0.255169,0.677080,-0.094069,-0.078171,0.726620,-0.392408,-0.105604,0.850777,-0.403532,-0.128996,0.459312,-0.408364,-0.187224,0.088954,-0.414499,-0.029057,-0.004054,-0.222790,-0.115689,0.848453,-0.225693,-0.141060,0.457387,-0.241413,-0.234550,0.090557,-0.203664,-0.095774,0.001972,-0.298865,-0.126030,1.455522,-0.290453,0.022675,1.506644,-0.317766,-0.013055,1.538046,-0.380120,-0.118597,1.517870,-0.266621,-0.011715,1.535280,-0.217905,-0.129513,1.519903,
20200922_08:07:-23.849,-0.303163,-0.110893,0.849648,-0.300733,-0.109390,1.024444,-0.299633,-0.122619,1.163572,-0.299760,-0.134877,1.375961,-0.332774,-0.132259,1.341175,-0.467622,-0.115917,1.306953,-0.527240,-0.140713,1.043976,-0.537312,-0.039400,0.840781,-0.509651,-0.066213,0.754645,-0.481356,-0.067735,0.652625,-0.466786,-0.043762,0.733658,-0.266913,-0.135491,1.340442,-0.142164,-0.133172,1.308210,-0.069953,-0.167439,1.044129,-0.041778,-0.117626,0.821206,-0.061878,-0.189142,0.751899,-0.088418,-0.257747,0.678274,-0.095236,-0.079043,0.726639,-0.392355,-0.105730,0.850843,-0.403684,-0.128572,0.459384,-0.408662,-0.186589,0.089027,-0.414609,-0.028868,-0.004717,-0.222735,-0.115549,0.848569,-0.225971,-0.140751,0.457527,-0.242057,-0.234069,0.090702,-0.204441,-0.094967,0.002600,-0.299156,-0.126326,1.455546,-0.291010,0.022665,1.505835,-0.318009,-0.012998,1.537576,-0.380077,-0.118865,1.518308,-0.266890,-0.011484,1.534513,-0.217827,-0.129170,1.519479,
20200922_08:07:-23.849,-0.303609,-0.111632,0.849760,-0.301297,-0.111129,1.024572,-0.300299,-0.125139,1.163630,-0.299622,-0.136083,1.376099,-0.332767,-0.133557,1.341427,-0.467465,-0.116585,1.306897,-0.528108,-0.141134,1.044119,-0.537535,-0.038660,0.841466,-0.510374,-0.066229,0.755405,-0.482927,-0.068756,0.653169,-0.467119,-0.043568,0.734189,-0.266919,-0.137038,1.340452,-0.142207,-0.135273,1.308019,-0.070274,-0.171059,1.044052,-0.042912,-0.113495,0.822891,-0.059924,-0.189156,0.757250,-0.084033,-0.251579,0.677533,-0.095457,-0.085020,0.727136,-0.392803,-0.106430,0.850924,-0.404140,-0.127629,0.459356,-0.409063,-0.184202,0.088758,-0.414742,-0.026226,-0.004590,-0.223179,-0.116323,0.848710,-0.226184,-0.138988,0.457494,-0.242715,-0.231562,0.090483,-0.204252,-0.092274,0.003029,-0.298668,-0.127042,1.455629,-0.291046,0.021940,1.506047,-0.318136,-0.013792,1.537634,-0.379915,-0.119767,1.518000,-0.267003,-0.012181,1.534825,-0.217647,-0.129773,1.519963,
20200922_08:07:-23.893,-0.303733,-0.112126,0.850125,-0.301459,-0.111098,1.024937,-0.300611,-0.124208,1.164087,-0.299740,-0.135877,1.376520,-0.332912,-0.133046,1.341897,-0.467471,-0.115415,1.307145,-0.528341,-0.138812,1.044310,-0.537312,-0.036681,0.841458,-0.510729,-0.065465,0.755613,-0.485037,-0.069616,0.652972,-0.466499,-0.041081,0.734262,-0.267086,-0.136897,1.340830,-0.142365,-0.135517,1.308402,-0.071422,-0.173530,1.044473,-0.043998,-0.117524,0.822915,-0.065625,-0.193305,0.758785,-0.095098,-0.257535,0.682372,-0.098740,-0.085062,0.726904,-0.392868,-0.105968,0.851248,-0.404340,-0.128716,0.459763,-0.409816,-0.185265,0.089163,-0.413669,-0.026253,-0.002510,-0.223356,-0.117678,0.849112,-0.226940,-0.142142,0.458002,-0.243214,-0.233769,0.090735,-0.205870,-0.093515,0.004339,-0.298639,-0.127111,1.456081,-0.292585,0.024655,1.497637,-0.320208,-0.009252,1.530740,-0.381200,-0.116501,1.516211,-0.269033,-0.007573,1.528897,-0.218971,-0.125613,1.522126,
20200922_08:07:-23.903,-0.303693,-0.112402,0.850212,-0.301408,-0.111082,1.025033,-0.300602,-0.123656,1.164241,-0.299589,-0.135900,1.376653,-0.332785,-0.132931,1.342061,-0.467301,-0.115226,1.307147,-0.528212,-0.138059,1.044255,-0.537172,-0.036283,0.841209,-0.510866,-0.065972,0.755582,-0.486296,-0.071393,0.652719,-0.466099,-0.040285,0.734065,-0.266961,-0.136867,1.340934,-0.142216,-0.135360,1.308575,-0.071486,-0.174402,1.044722,-0.043919,-0.119240,0.822957,-0.067518,-0.195367,0.759931,-0.099547,-0.260132,0.685005,-0.099869,-0.084831,0.726504,-0.392800,-0.105774,0.851327,-0.404429,-0.129461,0.459880,-0.410247,-0.185916,0.089248,-0.413363,-0.026269,-0.001363,-0.223342,-0.118378,0.849207,-0.227362,-0.143932,0.458148,-0.243474,-0.234891,0.090685,-0.207063,-0.094052,0.004826,-0.298418,-0.127350,1.456241,-0.290741,0.025550,1.493149,-0.318713,-0.007038,1.527273,-0.380847,-0.114034,1.516023,-0.267521,-0.005959,1.525380,-0.218713,-0.124682,1.522214,
20200922_08:07:-23.945,-0.303694,-0.113054,0.849199,-0.301381,-0.112504,1.024034,-0.300550,-0.125253,1.163233,-0.298631,-0.137404,1.375656,-0.331972,-0.134319,1.341210,-0.466257,-0.115253,1.306094,-0.528644,-0.138179,1.043541,-0.537162,-0.036226,0.840551,-0.510855,-0.067396,0.755446,-0.486819,-0.074779,0.652573,-0.465324,-0.040861,0.733846,-0.266165,-0.138518,1.339790,-0.141473,-0.137686,1.307177,-0.071358,-0.175675,1.042991,-0.045664,-0.111833,0.823327,-0.067844,-0.190589,0.763070,-0.097547,-0.249799,0.682774,-0.099521,-0.085297,0.727015,-0.392790,-0.106224,0.850357,-0.404759,-0.130152,0.458913,-0.411126,-0.184345,0.087931,-0.413421,-0.023447,-0.000485,-0.223352,-0.119213,0.848156,-0.227451,-0.144052,0.457030,-0.243279,-0.232118,0.088829,-0.207940,-0.090246,0.004212,-0.297068,-0.128822,1.455239,-0.289806,0.023846,1.493214,-0.316624,-0.009270,1.527761,-0.378082,-0.116731,1.517184,-0.265504,-0.007715,1.524590,-0.215748,-0.125971,1.519211,
20200922_08:07:-23.989,-0.303475,-0.111946,0.848819,-0.301149,-0.112213,1.023652,-0.300303,-0.125540,1.162796,-0.298017,-0.138056,1.375191,-0.331415,-0.134842,1.340813,-0.465525,-0.114743,1.305613,-0.528886,-0.137435,1.043275,-0.537068,-0.035193,0.840420,-0.510849,-0.067412,0.755680,-0.486880,-0.076066,0.652892,-0.465520,-0.042048,0.733429,-0.265621,-0.139177,1.339263,-0.140972,-0.138422,1.306487,-0.071465,-0.176015,1.042087,-0.045616,-0.111041,0.822776,-0.067551,-0.188420,0.760675,-0.096258,-0.254367,0.685427,-0.100471,-0.084869,0.728617,-0.392570,-0.105115,0.850015,-0.404861,-0.127680,0.458504,-0.411364,-0.182880,0.087678,-0.413662,-0.022082,-0.000916,-0.223135,-0.118106,0.847740,-0.227419,-0.141922,0.456557,-0.243876,-0.230479,0.088506,-0.208551,-0.088796,0.003573,-0.296289,-0.129612,1.454784,-0.288386,0.023451,1.490993,-0.314279,-0.009350,1.526530,-0.375773,-0.117016,1.518583,-0.263257,-0.007743,1.522083,-0.213421,-0.125963,1.516696,
