File_Name,Path_from_Root,Type,Label_str,Label
Sbj2_steppage_T9_P.csv,subject2/steppage/trial9/,pressure,steppage,3
Sbj2_steppage_T9_S.csv,subject2/steppage/trial9/,skeleton,steppage,3
Sbj2_steppage_T14_P.csv,subject2/steppage/trial14/,pressure,steppage,3
Sbj2_steppage_T14_S.csv,subject2/steppage/trial14/,skeleton,steppage,3
Sbj2_steppage_T13_S.csv,subject2/steppage/trial13/,skeleton,steppage,3
Sbj2_steppage_T13_P.csv,subject2/steppage/trial13/,pressure,steppage,3
Sbj2_steppage_T7_P.csv,subject2/steppage/trial7/,pressure,steppage,3
Sbj2_steppage_T7_S.csv,subject2/steppage/trial7/,skeleton,steppage,3
Sbj2_steppage_T6_S.csv,subject2/steppage/trial6/,skeleton,steppage,3
Sbj2_steppage_T6_P.csv,subject2/steppage/trial6/,pressure,steppage,3
Sbj2_steppage_T12_P.csv,subject2/steppage/trial12/,pressure,steppage,3
Sbj2_steppage_T12_S.csv,subject2/steppage/trial12/,skeleton,steppage,3
Sbj2_steppage_T15_S.csv,subject2/steppage/trial15/,skeleton,steppage,3
Sbj2_steppage_T15_P.csv,subject2/steppage/trial15/,pressure,steppage,3
Sbj2_steppage_T1_P.csv,subject2/steppage/trial1/,pressure,steppage,3
Sbj2_steppage_T1_S.csv,subject2/steppage/trial1/,skeleton,steppage,3
Sbj2_steppage_T8_S.csv,subject2/steppage/trial8/,skeleton,steppage,3
Sbj2_steppage_T8_P.csv,subject2/steppage/trial8/,pressure,steppage,3
Sbj2_steppage_T19_P.csv,subject2/steppage/trial19/,pressure,steppage,3
Sbj2_steppage_T19_S.csv,subject2/steppage/trial19/,skeleton,steppage,3
Sbj2_steppage_T10_S.csv,subject2/steppage/trial10/,skeleton,steppage,3
Sbj2_steppage_T10_P.csv,subject2/steppage/trial10/,pressure,steppage,3
Sbj2_steppage_T4_P.csv,subject2/steppage/trial4/,pressure,steppage,3
Sbj2_steppage_T4_S.csv,subject2/steppage/trial4/,skeleton,steppage,3
Sbj2_steppage_T3_S.csv,subject2/steppage/trial3/,skeleton,steppage,3
Sbj2_steppage_T3_P.csv,subject2/steppage/trial3/,pressure,steppage,3
Sbj2_steppage_T17_P.csv,subject2/steppage/trial17/,pressure,steppage,3
Sbj2_steppage_T17_S.csv,subject2/steppage/trial17/,skeleton,steppage,3
Sbj2_steppage_T16_S.csv,subject2/steppage/trial16/,skeleton,steppage,3
Sbj2_steppage_T16_P.csv,subject2/steppage/trial16/,pressure,steppage,3
Sbj2_steppage_T2_P.csv,subject2/steppage/trial2/,pressure,steppage,3
Sbj2_steppage_T2_S.csv,subject2/steppage/trial2/,skeleton,steppage,3
Sbj2_steppage_T5_S.csv,subject2/steppage/trial5/,skeleton,steppage,3
Sbj2_steppage_T5_P.csv,subject2/steppage/trial5/,pressure,steppage,3
Sbj2_steppage_T11_P.csv,subject2/steppage/trial11/,pressure,steppage,3
Sbj2_steppage_T11_S.csv,subject2/steppage/trial11/,skeleton,steppage,3
Sbj2_steppage_T18_S.csv,subject2/steppage/trial18/,skeleton,steppage,3
Sbj2_steppage_T18_P.csv,subject2/steppage/trial18/,pressure,steppage,3
Sbj2_steppage_T20_S.csv,subject2/steppage/trial20/,skeleton,steppage,3
Sbj2_steppage_T20_P.csv,subject2/steppage/trial20/,pressure,steppage,3
Sbj2_antalgic_T9_P.csv,subject2/antalgic/trial9/,pressure,antalgic,0
Sbj2_antalgic_T9_S.csv,subject2/antalgic/trial9/,skeleton,antalgic,0
Sbj2_antalgic_T14_S.csv,subject2/antalgic/trial14/,skeleton,antalgic,0
Sbj2_antalgic_T14_P.csv,subject2/antalgic/trial14/,pressure,antalgic,0
Sbj2_antalgic_T13_P.csv,subject2/antalgic/trial13/,pressure,antalgic,0
Sbj2_antalgic_T13_S.csv,subject2/antalgic/trial13/,skeleton,antalgic,0
Sbj2_antalgic_T7_P.csv,subject2/antalgic/trial7/,pressure,antalgic,0
Sbj2_antalgic_T7_S.csv,subject2/antalgic/trial7/,skeleton,antalgic,0
Sbj2_antalgic_T6_S.csv,subject2/antalgic/trial6/,skeleton,antalgic,0
Sbj2_antalgic_T6_P.csv,subject2/antalgic/trial6/,pressure,antalgic,0
Sbj2_antalgic_T12_S.csv,subject2/antalgic/trial12/,skeleton,antalgic,0
Sbj2_antalgic_T12_P.csv,subject2/antalgic/trial12/,pressure,antalgic,0
Sbj2_antalgic_T15_P.csv,subject2/antalgic/trial15/,pressure,antalgic,0
Sbj2_antalgic_T15_S.csv,subject2/antalgic/trial15/,skeleton,antalgic,0
Sbj2_antalgic_T1_P.csv,subject2/antalgic/trial1/,pressure,antalgic,0
Sbj2_antalgic_T1_S.csv,subject2/antalgic/trial1/,skeleton,antalgic,0
Sbj2_antalgic_T8_S.csv,subject2/antalgic/trial8/,skeleton,antalgic,0
Sbj2_antalgic_T8_P.csv,subject2/antalgic/trial8/,pressure,antalgic,0
Sbj2_antalgic_T19_S.csv,subject2/antalgic/trial19/,skeleton,antalgic,0
Sbj2_antalgic_T19_P.csv,subject2/antalgic/trial19/,pressure,antalgic,0
Sbj2_antalgic_T10_P.csv,subject2/antalgic/trial10/,pressure,antalgic,0
Sbj2_antalgic_T10_S.csv,subject2/antalgic/trial10/,skeleton,antalgic,0
Sbj2_antalgic_T4_P.csv,subject2/antalgic/trial4/,pressure,antalgic,0
Sbj2_antalgic_T4_S.csv,subject2/antalgic/trial4/,skeleton,antalgic,0
Sbj2_antalgic_T3_S.csv,subject2/antalgic/trial3/,skeleton,antalgic,0
Sbj2_antalgic_T3_P.csv,subject2/antalgic/trial3/,pressure,antalgic,0
Sbj2_antalgic_T17_S.csv,subject2/antalgic/trial17/,skeleton,antalgic,0
Sbj2_antalgic_T17_P.csv,subject2/antalgic/trial17/,pressure,antalgic,0
Sbj2_antalgic_T16_P.csv,subject2/antalgic/trial16/,pressure,antalgic,0
Sbj2_antalgic_T16_S.csv,subject2/antalgic/trial16/,skeleton,antalgic,0
Sbj2_antalgic_T2_P.csv,subject2/antalgic/trial2/,pressure,antalgic,0
